# (c) Statistisches Bundesamt, Wiesbaden 2014
# 
# Ergebnisse der repräsentativen Wahlstatistik zur Bundestagswahl 2013
# Wahlberechtigte, Wähler und Wahlbeteiligung nach Geschlecht und Altersgruppen in den Ländern 2013
# 
Geburtsjahresgruppe;Alter von ... bis unter ... Jahren;Insgesamt;;;;;;;;;Männer;;;;;;;;;Frauen;;;;;;;;
;;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1
;;insgesamt;;mit;;ohne;;;;;zusammen;;mit;;ohne;;;;;zusammen;;mit;;ohne;;;;
;;;;Wahlschein;;;;;;;;;Wahlschein;;;;;;;;;Wahlschein;;;;;;
;;1000;%;1000;%;1000;%;1000;%;;1000;%;1000;%;1000;%;1000;%;;1000;%;1000;%;1000;%;1000;%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Schleswig-Holstein;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Berlin;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;62,00124244;2,474390272;6,69659565;1,235591245;55,30464679;2,816287406;30,72804453;2,360929813;60,36111327;30,11070639;2,499054152;2,951645013;1,197839511;27,15906137;2,83358478;14,63666556;2,294230029;58,41214866;31,89053605;2,451545605;3,744950637;1,267065493;28,14558542;2,799795352;16,09137897;2,425059444;62,20130502
1989 - 1992;21 - 25;135,2135698;5,396200602;20,27134044;3,740272235;114,9422294;5,853221595;62,0418821;4,7668679;60,87645098;64,89971688;5,386386651;8,422328628;3,41795777;56,47738826;5,892452084;29,7600794;4,664755614;58,83293466;70,31385291;5,405290673;11,84901182;4,008991158;58,4648411;5,815817576;32,28180269;4,865045478;62,76261744
1984 - 1988;25 - 30;229,8938706;9,174770291;41,02135868;7,568865479;188,872512;9,617985244;115,506387;8,874709627;68,08695909;111,1611473;9,225878767;17,59651612;7,141035654;93,56463117;9,761873256;57,214271;8,968073916;67,29940176;118,7327233;9,127431588;23,42484255;7,925554311;95,30788079;9,480796285;58,29211598;8,784942958;68,82429395
1979 - 1983;30 - 35;227,8058847;9,091441444;42,53031819;7,847284136;185,2755665;9,434817414;119,8839422;9,211050606;71,29502408;114,3210474;9,488136361;19,49218757;7,910338923;94,82885981;9,893773949;60,51185146;9,484954491;69,98189823;113,4848373;8,724006827;23,03813062;7,794714312;90,44670672;8,997228707;59,37209071;8,947701099;72,61782566
1974 - 1978;35 - 40;186,4389503;7,440540007;33,41068108;6,164616648;153,0282692;7,792683115;102,7667341;7,895883063;73,04129047;96,6142823;8,01855394;16,80615881;6,820292062;79,80812349;8,326616335;52,71902179;8,263464271;71,96159713;89,82466796;6,905160503;16,60452227;5,617969161;73,22014569;7,283608443;50,04771233;7,542465917;74,20259503
1969 - 1973;40 - 45;183,6936095;7,330976969;32,7272017;6,038507624;150,9664078;7,687686617;104,7220386;8,046115094;74,82527053;96,85950278;8,038906144;16,84694402;6,836843557;80,01255876;8,347945668;54,74933902;8,581707161;73,91766526;86,83410672;6,675264799;15,88025768;5,372921693;70,95384905;7,058167519;49,97269953;7,531161076;75,83766298
1964 - 1968;45 - 50;237,2369726;9,467824095;46,59167775;8,596647032;190,6452948;9,708260949;133,9827041;10,29430168;76,11561548;121,5177025;10,0854266;22,65605075;9,19430102;98,8616518;10,314527;68,28818015;10,70385826;74,84031462;115,71927;8,895776081;23,935627;8,098372972;91,78364301;9,130221074;65,6945239;9,900526605;77,45481879
1954 - 1963;50 - 60;427,5488834;17,06292901;93,43902018;17,24046684;334,1098632;17,0139302;226,2147099;17,38076929;74,76425329;214,0867519;17,76824427;43,55128003;17,67402373;170,5354718;17,79246752;114,7551192;17,98733731;73,94497692;213,4621316;16,40963794;49,88774015;16,87900327;163,5743914;16,27163955;111,4595907;16,79757426;75,58592698
1944 - 1953;60 - 70;342,6853859;13,67613538;94,27705724;17,39509336;248,4083286;12,64973719;177,5682539;13,64311302;79,3279557;162,7517603;13,50766924;43,30845183;17,57547894;119,4433085;12,4618718;85,90329031;13,46494578;79,3919168;179,9336256;13,83217542;50,96860541;17,2447029;128,9650201;12,82885606;91,66496354;13,81441491;79,27010225
1943 und früher;70 und mehr;473,1996308;18,88479194;131,0097491;24,1726554;342,1898817;17,42539027;228,1083037;17,5262599;75,89144822;192,5614926;15,98174388;54,78250065;22,23188883;137,778992;14,3748876;99,43942824;15,58667317;80,08970371;280,6381382;21,57371056;76,22724845;25,79070473;204,4108898;20,33386944;128,6688755;19,39110826;73,01079077
Zusammen;;2505,718;100;541,975;100;1963,743;100;1301,523;100;73,57164693;1204,88411;100;246,4140634;100;958,4700469;100;637,9772462;100;73,4005289;1300,83389;100;295,5609366;100;1005,272953;100;663,5457538;100;73,73014326
;;Nordrhein-Westfalen;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;472,6390402;3,566130566;54,58592522;2,080895474;418,053115;3,932633655;253,9459971;3,57839964;65,27855214;243,1735142;3,822210825;24,45143449;2,050736092;218,7220797;4,230771407;135,1559855;3,87191093;65,63519901;229,4655261;3,329719432;30,13449074;2,106026896;199,3310353;3,650371784;118,7900116;3,294271529;64,90059963
1989 - 1992;21 - 25;772,7571404;5,83056545;117,4617152;4,477812741;655,2954253;6,164376609;358,1179984;5,046306424;61,5432312;391,4914298;6,153477635;52,83343222;4,431127605;338,6579976;6,550708439;184,6917949;5,290998967;60,67188425;381,2657106;5,532455647;64,62828294;4,51671486;316,6374277;5,798617009;173,4262035;4,809436388;62,43794807
1984 - 1988;25 - 30;941,8622038;7,106487843;150,9734536;5,755329328;790,8887502;7,439905612;446,3388039;6,289441982;63,41822138;473,5111526;7,442666851;69,86180883;5,859293568;403,6493437;7,807845027;226,5763609;6,490896318;62,60426352;468,3510513;6,796130221;81,11164478;5,668697274;387,2394065;7,091559028;219,7624429;6,094427881;64,24114709
1979 - 1983;30 - 35;886,3783705;6,68785422;134,4479799;5,125354051;751,9303906;7,073423577;453,4685727;6,389908862;66,32794438;447,3497365;7,031460688;66,24865151;5,556258908;381,101085;7,371690942;227,7319231;6,524000542;65,71604959;439,028634;6,370639629;68,19932843;4,766286619;370,8293056;6,791038995;225,7366495;6,26010392;66,95143669
1974 - 1978;35 - 40;828,5212823;6,251314042;118,3103723;4,510164795;710,21091;6,680967624;456,6294358;6,434449164;69,39348698;414,2418916;6,511070285;58,1061404;4,873348406;356,1357512;6,888783042;224,9448176;6,444156321;68,32987289;414,2793906;6,011509271;60,20423189;4,2075286;354,0751588;6,48421841;231,6846182;6,425052333;70,45700479
1969 - 1973;40 - 45;1026,418377;7,744476513;147,047398;5,605662335;879,3709787;8,272259629;603,4279868;8,503014482;73,11593419;514,7679505;8,091142819;71,80969882;6,022662646;442,9582517;8,568202665;299,1903338;8,571121137;72,07131529;511,6504262;7,424437106;75,2376992;5,258181381;436,412727;7,992075605;304,237653;8,43708511;74,16691804
1964 - 1968;45 - 50;1384,873789;10,44907493;222,0151176;8,463541683;1162,858671;10,93903378;824,8105209;11,62255639;75,5899669;696,1481187;10,94208341;106,3520785;8,919723952;589,7960402;11,4085063;414,0938392;11,86284467;74,76080215;688,7256701;9,99393367;115,6630391;8,083410913;573,062631;10,49456075;410,7166817;11,38994981;76,42806761
1954 - 1963;50 - 60;2482,646067;18,73192705;494,1152882;18,83639899;1988,530779;18,7061471;1403,351416;19,7748823;76,4292071;1237,043939;19,44390511;228,2362622;19,14212193;1008,807677;19,51350627;715,2657157;20,49073249;76,27069244;1245,602128;18,07463492;265,8790261;18,58164403;979,7231024;17,94177993;688,0857004;19,08191691;76,58663266
1944 - 1953;60 - 70;1747,727645;13,18686026;458,0289306;17,46073415;1289,698714;12,13222049;948,0825215;13,35960477;80,45369404;844,7957587;13,27853284;216,4517088;18,15375419;628,3440499;12,15414577;465,4183;13,3331735;80,71418468;902,9318861;13,1022289;241,5772218;16,88324953;661,3546643;12,11146273;482,6642214;13,38519107;80,20997535
1943 und früher;70 und mehr;2709,730085;20,44530912;726,2078193;27,68410645;1983,522266;18,65903192;1348,462747;19,00143599;76,56373517;1099,593234;17,28344954;297,9735589;24,9909727;801,6196752;15,50584014;597,6100252;17,12016512;81,44680744;1610,136851;23,3643112;428,2342604;29,92825989;1181,902591;21,64431576;750,8527217;20,82256504;73,22899177
Zusammen;;13253,554;100;2623,194;100;10630,36;100;7096,636;100;73,33753648;6362,116725;100;1192,324775;100;5169,791951;100;3490,679096;100;73,60763835;6891,437275;100;1430,869225;100;5460,568049;100;3605,956904;100;73,08818072
;;Sachsen;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;62,35690405;1,830564669;5,692667835;1,398762058;56,66423622;1,889153589;33,91836612;1,715478188;63,52309268;31,83964808;1,924633522;2,587506222;1,372948616;29,25214185;1,995562869;17,66627249;1,824213663;63,61181714;30,51725598;1,741745778;3,105161613;1,421025415;27,41209436;1,78744398;16,25209363;1,61109009;63,43052356
1989 - 1992;21 - 25;150,4551976;4,416799923;18,34653563;4,50798091;132,108662;4,404428077;72,39593537;3,661545713;60,31195494;78,54485209;4,747855721;8,881245127;4,712449811;69,66360696;4,752407809;38,07538096;3,931651695;59,78320009;71,91034553;4,104220275;9,465290501;4,331632309;62,44505503;4,071817215;34,32055441;3,402238896;60,88949315
1984 - 1988;25 - 30;248,1171482;7,283788254;28,90504065;7,10234205;219,2121076;7,308407691;126,2604184;6,38583218;62,53717657;131,4631227;7,946643512;14,27227516;7,572967463;117,1908475;7,994686513;67,40283271;6,959995008;62,12777104;116,6540255;6,6579268;14,63276549;6,69644104;102,02126;6,652439055;58,85758573;5,834625079;62,99855567
1979 - 1983;30 - 35;239,9770791;7,044826375;23,87359145;5,866049955;216,1034876;7,204768061;133,2242845;6,738041373;65,46370034;128,2009334;7,749451671;12,66495651;6,720113123;115,5359769;7,881792271;69,24864857;7,150593366;63,89470255;111,7761457;6,37952606;11,20863493;5,129444809;100,5675107;6,557645297;63,97563593;6,34198371;67,2632523
1974 - 1978;35 - 40;212,1621415;6,2282842;20,05384698;4,927489375;192,1082945;6,404781891;126,4417421;6,395002929;69,04888313;113,1761523;6,841238193;10,90107683;5,784186416;102,2750754;6,977141844;64,76696542;6,687816193;66,85864534;98,98598921;5,649539032;9,152770159;4,188612588;89,83321905;5,857700784;61,6747767;6,113896696;71,55310305
1969 - 1973;40 - 45;241,755428;7,097032025;18,79212434;4,617467816;222,9633037;7,433470447;153,4395184;7,760460694;71,24209959;128,4960903;7,767293227;9,720228746;5,157620295;118,7758616;8,102815182;78,95293364;8,152654747;69,00845166;113,2593377;6,46417795;9,071895597;4,151601694;104,1874421;6,793687987;74,48658479;7,383947036;73,77623965
1964 - 1968;45 - 50;302,0284684;8,866422278;27,56893602;6,774043874;274,4595324;9,150325589;189,4675157;9,582637011;71,8596008;156,7281225;9,473854665;13,66063793;7,248428536;143,0674846;9,759974552;96,3281303;9,946812012;70,17806788;145,3003459;8,292890558;13,90829809;6,36490062;131,3920478;8,567602378;93,13938538;9,233022168;73,67338518
1954 - 1963;50 - 60;623,1204659;18,29247822;68,50637631;16,83290202;554,6140896;18,49052008;382,7614933;19,35880375;72,42064646;311,6300414;18,83731952;32,47388135;17,23086502;279,1561601;19,0438591;187,952716;19,40793751;70,73342361;311,4904244;17,7780444;36,03249496;16,48967027;275,4579295;17,96161984;194,8087774;19,31163442;74,10862557
1944 - 1953;60 - 70;509,8186834;14,96636313;70,08157814;17,21994947;439,7371053;14,6605864;318,2471532;16,09588292;76,16996865;244,744246;14,79422697;31,82039865;16,8841226;212,9238474;14,52553204;153,0254977;15,80136409;75,52614591;265,0744374;15,1288924;38,26117949;17,50959057;226,8132579;14,78967594;165,2216555;16,37862652;76,76441266
1943 und früher;70 und mehr;816,6384839;23,97344093;125,1583026;30,75301248;691,4801812;23,05355817;441,0395728;22,30631525;69,33274474;329,4994306;19,91748301;51,48123572;27,31629811;278,0181949;18,96622782;195,0128212;20,13696172;74,80864427;487,1390533;27,80303675;73,67706693;33,71708069;413,4619863;26,96036752;246,0267516;24,38893538;65,62886232
Zusammen;;3406,43;100;406,979;100;2999,451;100;1977,196;100;69,99042986;1654,322639;100;188,4634422;100;1465,859197;100;968,4321989;100;69,93168162;1752,107361;100;218,5155578;100;1533,591803;100;1008,763801;100;70,04589938
;;Hessen;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;152,7587339;3,461349505;15,44322793;1,980787292;137,315506;3,77902769;87,52102721;3,525082375;67,40318705;78,54154197;3,686485619;6,745916795;1,899955433;71,79562518;4,043754081;45,61231597;3,722107809;66,66310777;74,21719192;3,251225977;8,697311138;2,048380936;65,51988078;3,526080637;41,90871124;3,333058972;68,1863879
1989 - 1992;21 - 25;257,188228;5,827610134;36,85261746;4,72680949;220,3356106;6,063804431;122,5145047;4,934513854;61,9651698;126,8666199;5,954708272;15,00601817;4,226373763;111,8606017;6,300338822;63,24939596;5,161348763;61,68321835;130,3216082;5,708987187;21,84659928;5,145286488;108,4750089;5,837794938;59,26510877;4,713437772;62,23964637
1984 - 1988;25 - 30;314,6793781;7,130298095;48,30555308;6,195791845;266,373825;7,330811284;148,8455895;5,995050344;62,65143393;159,9932642;7,509565674;22,60709764;6,367181701;137,3861666;7,738018442;74,25328846;6,059300847;60,54028998;154,6861139;6,776320938;25,69845544;6,052471318;128,9876584;6,941723326;74,59230109;5,932431016;64,83500945
